fecha	predicciones
12/12/2017	1120
13/12/2017	1290
14/12/2017	1326
15/12/2017	1391
16/12/2017	414
17/12/2017	4
18/12/2017	824
19/12/2017	1250
20/12/2017	1441
21/12/2017	1481
22/12/2017	1551
23/12/2017	462
24/12/2017	4
25/12/2017	918
26/12/2017	1392
27/12/2017	1604
28/12/2017	1647
29/12/2017	1723
30/12/2017	513
31/12/2017	5
